,province,city,district,county,street,community,show_address,cnt_inc_uncertain,cnt_inc_certain,cnt_inc_die,cnt_inc_recure,cnt_sum_uncertain,cnt_sum_certain,cnt_sum_die,cnt_sum_recure,full_address,lng,lat,source,distance
101,安徽省,阜阳市,颍州区,,,颍西街道办事处,颍西街道办事处,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍州区颍西街道办事处,115.797234,32.904591,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
102,安徽省,阜阳市,颍州区,,,,颍西镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍州区颍西镇,115.798653,32.899307,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
103,安徽省,阜阳市,颍泉区,,,中市街道办事处,中市街道办事处,-1,-1,-1,-1,-1,3,-1,-1,安徽省阜阳市颍泉区中市街道办事处,115.808884,32.944118,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
104,安徽省,阜阳市,颍泉区,,,周棚办事处,周棚办事处,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍泉区周棚办事处,115.797203,32.90501,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
105,安徽省,阜阳市,颍泉区,,北京中路,,北京中路,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍泉区北京中路,115.823891,32.915668,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
106,安徽省,阜阳市,颍泉区,,,周棚街道办事处,周棚街道办事处,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍泉区周棚街道办事处,115.848259,32.994259,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
107,安徽省,阜阳市,颍泉区,,,,行流镇,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市颍泉区行流镇,115.717392,33.044048,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
108,安徽省,阜阳市,界首市,,,,邴集乡,-1,-1,-1,-1,-1,1,-1,-1,安徽省阜阳市界首市邴集乡,115.364517,33.428009,"[{'name': '阜阳市卫生健康委', 'url': ''}]",-1
109,安徽省,马鞍山市,和县,和县,,,功桥镇,-1,-1,-1,-1,-1,2,-1,-1,安徽省马鞍山市和县功桥镇,118.19442,31.571051,"[{'name': '马鞍山发布', 'url': ''}]",-1
110,安徽省,马鞍山市,和县,和县,,,白桥镇,-1,-1,-1,-1,-1,10,-1,-1,安徽省马鞍山市和县白桥镇,118.308609,31.528959,"[{'name': '马鞍山发布', 'url': ''}]",-1
